GTNGN1YR Govt,,GTNGN5YR Govt,,GTNGN10Y Govt,
1/2/2019,16.978,1/2/2019,15.19,3/7/2019,1/14/1900
1/3/2019,16.992,1/3/2019,15.152,3/8/2019,14.357
1/4/2019,16.941,1/18/2019,15.137,3/13/2019,14.341
1/7/2019,16.932,1/28/2019,15.053,3/15/2019,14.272
1/8/2019,17.161,2/1/2019,14.847,3/22/2019,14.286
1/9/2019,17.206,2/5/2019,14.693,3/26/2019,14.348
1/10/2019,17.121,2/6/2019,14.708,4/2/2019,14.384
1/11/2019,17.237,2/12/2019,14.582,4/5/2019,14.758
1/14/2019,17.116,2/13/2019,14.619,4/9/2019,14.734
1/15/2019,17.237,2/15/2019,14.557,4/17/2019,14.596
1/16/2019,17.193,2/18/2019,14.551,4/18/2019,14.55
1/17/2019,17.1,2/19/2019,14.577,4/23/2019,14.54
1/18/2019,17.061,2/22/2019,14.589,4/24/2019,14.479
1/21/2019,16.939,2/25/2019,14.443,4/25/2019,14.599
1/22/2019,16.943,2/26/2019,14.456,4/29/2019,14.577
1/23/2019,17.012,2/27/2019,14.381,4/30/2019,14.575
1/24/2019,17.159,2/28/2019,14.231,5/2/2019,14.57
1/25/2019,17.166,3/28/2019,14.426,5/3/2019,14.558
1/28/2019,17.178,5/24/2022,10.885,5/7/2019,14.578
1/29/2019,17.1,5/31/2022,11.18,5/9/2019,14.592
1/30/2019,17.102,6/1/2022,11.189,5/10/2019,14.769
1/31/2019,17.094,6/3/2022,10.819,5/13/2019,14.316
2/1/2019,16.805,6/6/2022,10.85,3/20/2020,13.062
2/8/2019,17.563,6/7/2022,10.67,3/30/2020,13.024
2/11/2019,17.562,6/9/2022,10.685,3/31/2020,12.937
2/12/2019,17.554,6/10/2022,10.777,3/12/2024,19.121
2/13/2019,17.503,6/14/2022,10.787,3/13/2024,19.115
2/14/2019,17.506,6/15/2022,10.745,3/20/2024,20.456
2/15/2019,17.515,6/16/2022,10.781,5/28/2024,19.948
2/18/2019,17.492,6/17/2022,10.776,5/29/2024,19.942
2/19/2019,17.367,6/20/2022,10.83,5/30/2024,19.942
2/20/2019,17.384,6/21/2022,10.844,8/6/2024,22.501
2/21/2019,17.371,6/22/2022,10.791,9/23/2024,20.173
2/22/2019,17.357,6/23/2022,10.779,10/24/2024,20.616
2/25/2019,17.296,6/24/2022,10.734,10/29/2024,20.266
2/26/2019,16.828,6/27/2022,11.173,10/30/2024,20.206
2/27/2019,16.526,6/28/2022,10.73,11/15/2024,20.013
2/28/2019,16.484,6/29/2022,10.702,11/22/2024,20.038
3/5/2019,15.277,6/30/2022,10.708,12/12/2024,20.883
3/6/2019,15.364,7/1/2022,10.719,2/28/2025,18.496
3/7/2019,14.836,7/4/2022,10.74,3/3/2025,18.496
3/8/2019,15.256,7/5/2022,10.754,3/4/2025,18.496
3/11/2019,15.052,7/6/2022,10.748,3/7/2025,18.496
3/12/2019,14.928,7/7/2022,10.736,3/27/2025,18.807
3/13/2019,14.643,7/8/2022,10.748,4/15/2025,19.604
3/14/2019,14.632,7/13/2022,11.376,,
3/15/2019,14.403,7/14/2022,11.315,,
3/18/2019,14.427,7/15/2022,11.45,,
3/19/2019,14.381,8/2/2022,11.768,,
3/20/2019,14.447,8/5/2022,11.924,,
3/21/2019,14.905,8/11/2022,12.761,,
3/22/2019,14.695,11/23/2022,14.557,,
3/25/2019,14.793,11/24/2022,14.555,,
3/26/2019,14.683,7/7/2023,13.181,,
3/27/2019,14.629,2/26/2024,16.792,,
3/28/2019,14.624,,,,
3/29/2019,14.624,,,,
4/1/2019,14.529,,,,
4/2/2019,14.571,,,,
4/3/2019,14.677,,,,
4/4/2019,14.708,,,,
4/5/2019,14.698,,,,
4/8/2019,14.787,,,,
4/9/2019,14.744,,,,
4/10/2019,14.776,,,,
4/11/2019,14.658,,,,
4/12/2019,14.592,,,,
4/15/2019,14.648,,,,
4/16/2019,14.642,,,,
4/17/2019,14.634,,,,
4/18/2019,14.344,,,,
4/23/2019,14.391,,,,
4/24/2019,14.324,,,,
4/25/2019,14.203,,,,
4/26/2019,14.283,,,,
4/29/2019,14.372,,,,
4/30/2019,14.492,,,,
5/2/2019,14.373,,,,
5/30/2019,13.484,,,,
5/31/2019,13.467,,,,
6/13/2019,13.85,,,,
6/14/2019,13.795,,,,
6/17/2019,13.789,,,,
6/18/2019,13.696,,,,
6/19/2019,13.696,,,,
6/20/2019,13.713,,,,
6/21/2019,13.65,,,,
6/24/2019,13.583,,,,
6/25/2019,13.619,,,,
6/26/2019,12.771,,,,
6/27/2019,12.579,,,,
6/28/2019,12.64,,,,
7/1/2019,12.853,,,,
