GTPKR1Y Govt,,GTPKR5Y Govt,,GTPKR10Y Govt,
10/11/2022,15.762,5/22/2019,13.469,5/10/2019,1/13/1900
10/12/2022,15.772,8/6/2019,13.728,5/22/2019,13.894
10/14/2022,15.737,8/8/2019,13.728,8/6/2019,13.483
10/25/2022,15.737,11/5/2019,11.469,8/8/2019,13.494
10/26/2022,15.77,11/19/2019,11.353,11/21/2019,11.418
10/27/2022,15.766,11/20/2019,11.355,11/22/2019,11.391
11/15/2022,15.712,11/21/2019,11.415,11/27/2019,11.356
11/16/2022,15.768,12/3/2019,11.358,11/28/2019,11.344
11/18/2022,15.773,12/4/2019,11.327,11/29/2019,11.354
12/1/2022,16.915,12/5/2019,11.304,12/3/2019,11.37
12/2/2022,16.998,12/6/2019,11.324,12/4/2019,11.317
12/9/2022,16.925,12/10/2019,11.285,12/5/2019,11.318
12/13/2022,16.963,12/12/2019,11.134,12/6/2019,11.303
12/22/2022,16.897,12/13/2019,11.029,12/11/2019,11.25
1/5/2023,17.082,12/18/2019,11.036,12/12/2019,11.107
1/12/2023,17.101,12/19/2019,11.052,12/13/2019,11.128
2/21/2023,17.927,12/20/2019,11.07,12/19/2019,11.026
2/22/2023,17.953,12/23/2019,11.017,12/20/2019,11.06
2/23/2023,18.037,12/24/2019,11.017,12/23/2019,11.011
3/17/2023,21.186,12/26/2019,11.05,12/24/2019,11.06
8/8/2023,22.823,12/27/2019,11.05,12/26/2019,11.031
8/17/2023,23.123,12/30/2019,11.05,12/27/2019,11.031
8/29/2023,23.235,12/31/2019,11.05,12/30/2019,11.017
8/31/2023,23.236,1/2/2020,11.05,12/31/2019,11.017
9/5/2023,23.325,1/3/2020,11.056,1/2/2020,11.017
10/4/2023,22.823,1/6/2020,11.037,1/3/2020,11.052
10/17/2023,22.796,1/8/2020,11.088,1/6/2020,11.008
10/30/2023,21.628,1/9/2020,11.037,1/7/2020,11.031
1/12/2024,20.885,1/10/2020,11.1,1/8/2020,11.087
1/15/2024,20.619,1/13/2020,11.1,1/9/2020,11.05
1/16/2024,20.642,1/14/2020,11.116,1/10/2020,11.05
1/17/2024,20.634,1/15/2020,11.133,1/13/2020,11.021
1/23/2024,20.982,1/16/2020,11.163,1/14/2020,11.063
1/30/2024,20.903,1/17/2020,11.163,1/15/2020,11.088
3/26/2024,20.855,1/20/2020,11.163,1/16/2020,11.088
3/27/2024,20.991,1/21/2020,11.132,1/17/2020,11.088
3/28/2024,20.94,1/22/2020,11.184,1/20/2020,11.088
4/3/2024,20.942,1/23/2020,11.263,1/21/2020,11.101
4/22/2024,21.015,1/24/2020,11.249,1/22/2020,11.077
4/23/2024,21.023,1/27/2020,11.25,1/23/2020,11.112
4/25/2024,20.45,1/28/2020,11.25,1/24/2020,11.185
4/26/2024,20.669,1/30/2020,11.252,1/27/2020,11.077
4/30/2024,20.604,2/4/2020,11.323,1/28/2020,11.078
5/3/2024,20.298,2/6/2020,11.324,1/29/2020,11.078
7/15/2024,18.845,2/7/2020,11.378,1/30/2020,11.081
7/23/2024,18.887,2/25/2020,11.39,1/31/2020,11.068
7/26/2024,18.337,5/5/2020,7.716,2/4/2020,11.152
7/31/2024,18.384,9/30/2020,9.145,2/24/2020,11.151
9/3/2024,16.959,10/1/2020,9.142,2/25/2020,11.151
10/15/2024,13.748,10/2/2020,9.125,5/5/2020,8.212
11/7/2024,12.963,10/5/2020,9.17,9/30/2020,9.9
2/18/2025,11.858,10/6/2020,9.151,10/1/2020,9.934
4/4/2025,12.06,10/7/2020,9.192,10/5/2020,9.9
,,10/8/2020,9.192,10/6/2020,9.919
,,10/9/2020,9.35,10/7/2020,9.925
,,10/12/2020,9.375,10/8/2020,9.937
