GTZAR1YR Govt,,GTZAR5YR Govt,,GTZAR10Y Govt,
#N/A N/A,,1/2/2019,8.15,1/14/2019,1/9/1900
,,1/3/2019,8.062,1/15/2019,9.306
,,1/4/2019,8.001,1/16/2019,9.278
,,1/7/2019,8.005,1/17/2019,9.307
,,1/8/2019,8.052,1/18/2019,9.387
,,1/9/2019,8.025,1/21/2019,9.405
,,1/10/2019,7.995,1/22/2019,9.377
,,1/11/2019,8.009,1/23/2019,9.346
,,8/25/2021,7.331,1/24/2019,9.283
,,8/26/2021,7.358,1/25/2019,9.227
,,8/27/2021,7.331,1/28/2019,9.292
,,8/30/2021,7.305,1/29/2019,9.281
,,8/31/2021,7.315,1/30/2019,9.245
,,9/1/2021,7.311,1/31/2019,9.093
,,9/2/2021,7.298,2/1/2019,9.12
,,9/3/2021,7.338,2/4/2019,9.147
,,9/6/2021,7.351,2/5/2019,9.106
,,9/7/2021,7.377,2/6/2019,9.141
,,9/8/2021,7.374,2/7/2019,9.14
,,9/9/2021,7.392,2/8/2019,9.135
,,9/10/2021,7.401,2/11/2019,9.302
,,9/13/2021,7.424,2/12/2019,9.321
,,9/14/2021,7.423,2/13/2019,9.452
,,9/15/2021,7.424,2/14/2019,9.48
,,9/16/2021,7.423,2/15/2019,9.408
,,9/17/2021,7.464,2/18/2019,9.388
,,9/20/2021,7.5,2/19/2019,9.407
,,9/21/2021,7.495,2/20/2019,9.347
,,9/22/2021,7.512,2/21/2019,9.37
,,9/23/2021,7.552,2/22/2019,9.26
,,9/27/2021,7.63,2/25/2019,9.244
,,9/28/2021,7.665,2/26/2019,9.187
,,9/29/2021,7.626,2/27/2019,9.191
,,9/30/2021,7.613,2/28/2019,9.26
,,10/1/2021,7.627,3/1/2019,9.287
,,10/4/2021,7.73,3/4/2019,9.258
,,10/5/2021,7.792,3/5/2019,9.187
,,10/6/2021,7.84,3/6/2019,9.201
,,10/7/2021,7.82,3/7/2019,9.215
,,10/8/2021,7.915,3/8/2019,9.188
,,10/11/2021,7.966,3/11/2019,9.182
,,10/12/2021,7.921,3/12/2019,9.212
,,10/13/2021,7.819,3/13/2019,9.227
,,10/14/2021,7.872,3/14/2019,9.291
,,10/15/2021,7.865,3/15/2019,9.225
,,10/18/2021,7.997,3/18/2019,9.238
,,10/19/2021,7.939,3/19/2019,9.309
,,10/20/2021,7.877,3/20/2019,9.279
,,10/21/2021,7.96,3/22/2019,9.301
,,10/22/2021,8.07,3/25/2019,9.255
,,10/25/2021,7.992,3/26/2019,9.291
