GTBRL1Y Govt,,GTBRL5Y Govt,,GTBRL10Y Govt,
1/2/2019,6.7937,3/26/2020,6.8966,1/2/2019,1/9/1900
1/3/2019,6.82,3/27/2020,6.9699,1/3/2019,9.1781
1/4/2019,6.8623,3/30/2020,6.7855,1/4/2019,9.1312
1/7/2019,6.968,3/31/2020,6.8541,1/7/2019,9.188
1/8/2019,6.9471,4/1/2020,6.8641,1/8/2019,9.152
1/9/2019,6.9632,4/2/2020,6.9356,1/9/2019,9.1209
1/10/2019,7.0428,4/3/2020,7.2036,1/10/2019,9.2609
1/11/2019,7.0166,4/6/2020,6.9733,1/11/2019,9.197
1/14/2019,6.9727,4/7/2020,6.982,1/14/2019,9.131
1/15/2019,7.041,4/8/2020,6.7337,1/15/2019,9.26
1/16/2019,7.0157,4/9/2020,6.6379,1/16/2019,9.2575
1/17/2019,6.9759,4/13/2020,6.5462,1/17/2019,9.1833
1/18/2019,6.9217,4/14/2020,6.2874,1/18/2019,9.1
1/21/2019,6.9443,4/15/2020,6.245,1/21/2019,9.0639
1/22/2019,6.8883,4/16/2020,6.0533,1/22/2019,9.123
1/23/2019,6.8032,4/17/2020,6.0366,1/23/2019,8.9616
1/24/2019,6.8238,4/20/2020,5.903,1/24/2019,9.1009
1/25/2019,6.7973,4/22/2020,5.9049,1/28/2019,9.1262
1/28/2019,6.8193,4/23/2020,6.3033,1/29/2019,9.035
1/29/2019,6.7734,4/24/2020,7.1308,1/30/2019,9.054
1/30/2019,6.7256,4/27/2020,7.3624,1/31/2019,8.8712
1/31/2019,6.6464,4/28/2020,6.5587,2/1/2019,8.715
2/1/2019,6.612,4/29/2020,6.3291,2/4/2019,8.7912
2/4/2019,6.6463,4/30/2020,6.3968,2/5/2019,8.8219
2/5/2019,6.652,5/4/2020,6.4908,2/6/2019,8.9409
2/6/2019,6.6635,5/5/2020,6.3716,2/7/2019,8.9999
2/7/2019,6.7835,5/6/2020,6.291,2/8/2019,9.051
2/8/2019,6.8406,5/7/2020,6.38,2/11/2019,9.0532
2/11/2019,6.8397,5/8/2020,6.2379,2/12/2019,8.9736
2/12/2019,6.8071,5/11/2020,6.2362,2/13/2019,8.9559
2/13/2019,6.704,5/12/2020,6.49,2/14/2019,8.8066
2/14/2019,6.6563,5/13/2020,6.7099,2/15/2019,8.7862
2/15/2019,6.6194,5/14/2020,6.5799,2/18/2019,8.9249
2/18/2019,6.6629,5/15/2020,6.5774,2/19/2019,8.8849
2/19/2019,6.6599,5/18/2020,6.389,2/20/2019,8.976
2/20/2019,6.7234,5/19/2020,6.3299,2/21/2019,9
2/21/2019,6.7377,5/20/2020,6.3509,2/22/2019,8.961
2/22/2019,6.7194,5/21/2020,6.1494,2/25/2019,8.989
2/25/2019,6.7606,5/22/2020,5.9647,2/26/2019,9.0068
2/26/2019,6.7582,5/25/2020,5.8449,2/27/2019,8.965
2/27/2019,6.7318,5/26/2020,5.852,2/28/2019,9.02
2/28/2019,6.7922,5/27/2020,5.8099,3/1/2019,9.058
3/1/2019,6.779,5/28/2020,5.9183,3/6/2019,9.095
3/6/2019,6.8143,5/29/2020,5.7812,3/7/2019,9.0562
3/7/2019,6.7916,6/1/2020,5.7712,3/8/2019,9.0168
3/8/2019,6.7645,6/2/2020,5.5024,3/11/2019,8.8909
3/11/2019,6.7217,6/3/2020,5.4339,3/12/2019,8.8149
3/12/2019,6.6578,6/4/2020,5.5019,3/13/2019,8.75
3/13/2019,6.567,6/5/2020,5.5937,3/14/2019,8.8509
3/14/2019,6.6194,6/8/2020,5.5387,3/15/2019,8.8403
3/15/2019,6.4636,6/9/2020,5.5599,3/18/2019,8.8062
